0.00,910,610
0.03,910,611
0.07,910,611
0.10,910,611
0.13,909,612
0.17,909,612
0.20,1040,13
0.23,1040,13
0.27,1040,12
0.30,908,612
0.33,1040,13
0.37,1040,12
0.40,908,613
0.43,907,613
0.47,907,613
0.50,907,613
0.53,1042,18
0.57,1042,18
0.60,1041,17
0.63,1040,11
0.67,1040,11
0.70,1040,11
0.73,1040,11
0.77,859,604
0.80,1040,11
0.83,1040,11
0.87,1040,11
0.90,1043,20
0.93,1042,20
0.97,1040,11
1.00,1040,11
1.03,858,605
1.07,1040,11
1.10,858,606
1.13,857,607
1.17,856,607
1.20,857,607
1.23,857,607
1.27,1043,23
1.30,898,622
1.33,899,622
1.37,898,622
1.40,897,622
1.43,1044,24
1.47,1044,23
1.50,1044,23
1.53,1043,23
1.57,1043,23
1.60,1043,23
1.63,897,623
1.67,897,623
1.70,898,623
1.73,897,623
1.77,897,624
1.80,1036,2
1.83,1036,2
1.87,1036,2
1.90,1040,11
1.93,1044,23
1.97,1044,23
2.00,1044,23
2.03,1040,11
2.07,1040,11
2.10,1040,11
2.13,1042,19
2.17,1042,19
2.20,1042,19
2.23,1042,19
2.27,1042,19
2.30,1042,19
2.33,1040,11
2.37,1040,11
2.40,1040,11
2.43,1040,11
2.47,1040,11
2.50,1040,11
2.53,1040,11
2.57,1040,11
2.60,1040,11
2.63,1040,11
2.67,1040,11
2.70,1040,11
2.73,1040,11
2.77,1040,11
2.80,1040,11
2.83,1040,11
2.87,1040,11
2.90,1040,11
2.93,1040,11
2.97,1040,11
3.00,1040,11
3.03,1040,11
3.07,1040,11
3.10,1040,11
3.13,1040,11
3.17,1040,11
3.20,1040,11
3.23,1040,11
3.27,1040,11
3.30,1040,12
3.33,1042,17
3.37,1040,11
3.40,1042,17
3.43,1040,11
3.47,1040,11
3.50,1040,11
3.53,1038,6
3.57,1040,12
3.60,1040,12
3.63,1040,12
3.67,1040,12
3.70,1038,6
3.73,1040,13
3.77,1039,9
3.80,1038,7
3.83,1038,7
3.87,1039,9
3.90,1039,9
3.93,1044,23
3.97,1044,23
4.00,1044,23
4.03,1044,23
4.07,1043,20
4.10,1043,20
4.13,1043,20
4.17,863,639
4.20,863,639
4.23,863,639
4.27,863,639
4.30,863,639
4.33,863,639
4.37,863,640
4.40,863,640
4.43,863,640
4.47,863,640
4.50,863,641
4.53,863,641
4.57,1043,20
4.60,862,642
4.63,862,642
4.67,862,643
4.70,1043,21
4.73,1038,8
4.77,1038,8
4.80,1038,8
4.83,1038,8
4.87,1038,9
4.90,1038,9
4.93,1039,10
4.97,1039,10
5.00,1039,10
5.03,878,661
5.07,884,654
5.10,1039,10
5.13,1039,10
5.17,1039,10
5.20,1039,9
5.23,1039,9
5.27,881,658
5.30,881,658
5.33,882,658
5.37,1042,19
5.40,1043,20
5.43,1043,20
5.47,1043,20
5.50,1043,20
5.53,869,645
5.57,869,645
5.60,869,646
5.63,880,660
5.67,869,646
5.70,868,646
5.73,880,661
5.77,880,660
5.80,880,660
5.83,880,660
5.87,879,660
5.90,878,659
5.93,872,667
5.97,872,667
6.00,872,668
6.03,872,668
6.07,872,668
6.10,878,660
6.13,872,669
6.17,872,669
6.20,872,669
6.23,871,669
6.27,871,669
6.30,871,669
6.33,871,670
6.37,871,670
6.40,871,670
6.43,871,670
6.47,871,670
6.50,1043,21
6.53,871,670
6.57,1042,19
6.60,878,664
6.63,878,664
6.67,878,664
6.70,1042,19
6.73,871,669
6.77,1036,3
6.80,1036,3
6.83,1036,3
6.87,1036,3
6.90,1042,19
6.93,1042,19
6.97,1042,19
7.00,873,669
7.03,873,669
7.07,1042,19
7.10,1042,19
7.13,1042,20
7.17,1042,20
7.20,1042,20
7.23,1042,19
7.27,1042,20
7.30,1042,20
7.33,1042,20
7.37,1042,20
7.40,1036,1
7.43,1042,19
7.47,1042,19
7.50,1042,18
7.53,1042,18
7.57,1042,19
7.60,1042,19
7.63,1042,18
7.67,1042,20
7.70,1042,19
7.73,1036,1
7.77,1037,3
7.80,1037,3
7.83,1037,3
7.87,1037,3
7.90,1037,3
7.93,1037,3
7.97,1037,3
8.00,1036,1
8.03,1044,22
8.07,1044,22
8.10,1044,22
8.13,1036,1
8.17,1038,5
8.20,1040,11
8.23,1040,11
8.27,1044,23
8.30,1044,24
8.33,879,672
8.37,879,671
8.40,1044,23
8.43,1044,23
8.47,1044,23
8.50,1038,5
8.53,1038,5
8.57,1042,18
8.60,1042,18
8.63,1042,18
8.67,1044,23
8.70,1042,17
8.73,1042,19
8.77,1043,22
8.80,1043,22
8.83,1043,22
8.87,1042,19
8.90,1042,19
8.93,1043,20
8.97,1043,20
9.00,1042,19
9.03,1042,19
9.07,1042,19
9.10,1042,19
9.13,1042,19
9.17,1042,19
9.20,1042,18
9.23,1042,20
9.27,1043,22
9.30,1043,22
9.33,1043,22
9.37,1043,20
9.40,1042,20
9.43,1042,20
9.47,1042,20
9.50,1042,20
9.53,1042,20
9.57,1042,19
9.60,1043,21
9.63,1043,20
9.67,1043,21
9.70,1043,20
9.73,855,643
9.77,855,643
9.80,855,643
9.83,855,644
9.87,855,644
9.90,854,645
9.93,854,646
9.97,854,646
10.00,854,647
10.03,854,647
10.07,854,647
10.10,836,671
10.13,836,671
10.17,836,671
10.20,1042,16
10.23,1042,16
10.27,1042,17
10.30,1042,17
10.33,1044,23
10.37,1044,24
10.40,1044,23
10.43,1044,23
10.47,1044,24
10.50,1044,24
10.53,1044,23
10.57,1044,24
10.60,1040,12
10.63,1044,23
10.67,831,678
10.70,1044,23
10.73,1044,23
10.77,1040,12
10.80,1040,12
10.83,1043,22
10.87,1040,12
10.90,828,683
10.93,828,682
10.97,827,682
11.00,826,683
11.03,826,684
11.07,825,684
11.10,825,684
11.13,825,684
11.17,1037,3
11.20,1036,2
11.23,1036,1
11.27,1036,1
11.30,1038,6
11.33,1036,1
11.37,1044,23
11.40,1036,1
11.43,1036,1
11.47,1038,7
11.50,1036,2
11.53,1036,2
11.57,1044,22
11.60,1044,22
11.63,1044,23
11.67,1044,23
11.70,1040,11
11.73,1042,17
11.77,1042,17
11.80,1038,6
11.83,1036,1
11.87,1036,1
11.90,1040,13
11.93,1040,13
11.97,1038,6
12.00,1041,14
12.03,1041,15
12.07,1040,13
12.10,1040,11
12.13,1040,10
12.17,1040,10
12.20,1040,11
12.23,1040,11
12.27,1040,11
12.30,1040,11
12.33,1039,11
12.37,1040,11
12.40,1044,23
12.43,1044,23
12.47,1040,11
12.50,1044,23
12.53,1040,11
12.57,1040,11
12.60,1040,11
12.63,1039,11
12.67,1039,11
12.70,1038,9
12.73,1039,11
12.77,1039,11
12.80,1039,11
12.83,1039,11
12.87,1039,8
12.90,1039,8
12.93,1039,8
12.97,1039,8
13.00,805,702
